Term,Term Desc,CRN,Subj,Crse,Sec,Credits,Title,Act,Act XL
202710,Fall 2026,13498,MIS,201,01,3,Intro to Mgt Info Systems,35,
202710,Fall 2026,10070,MIS,201,02,3,Intro to Mgt Info Systems,35,
202710,Fall 2026,10071,MIS,201,03,3,Intro to Mgt Info Systems,35,
202710,Fall 2026,12682,MIS,201,04,3,Intro to Mgt Info Systems,35,
202710,Fall 2026,12683,MIS,201,05,3,Intro to Mgt Info Systems,40,
202710,Fall 2026,13496,MIS,201,06,3,Intro to Mgt Info Systems,39,
202710,Fall 2026,16486,MIS,201,07,3,Intro to Mgt Info Systems,35,
202710,Fall 2026,17269,MIS,201,08,3,Intro to Mgt Info Systems,35,
202710,Fall 2026,17484,MIS,201,09,3,Intro to Mgt Info Systems,35,
202710,Fall 2026,16268,MIS,202,01,3,Intro to Apps of AI,20,
202710,Fall 2026,17127,MIS,202,02,3,Intro to Apps of AI,23,
202710,Fall 2026,10081,MIS,300,01,3,IT Project Management I,29,
202710,Fall 2026,12679,MIS,310,01,3,Cont Business Applctns Dev I,24,
202710,Fall 2026,10086,MIS,315,01,3,Database Management Systems,35,
202710,Fall 2026,10088,MIS,361,01,3,Business Sys Analysis & Design,19,
202710,Fall 2026,15543,MIS,395,01,3,Business-Driven Infrastructure,27,
202710,Fall 2026,14517,MIS,399,01,3,Busnss Anlytcs & Decsn Suprt,21,
202710,Fall 2026,14516,MIS,412,01,3,Contemporary Bus Apps Dev II,11,
202710,Fall 2026,12652,MIS,460,01,3,Amazon Web Services Architect,20,
202710,Fall 2026,15154,MIS,462,01,3,IT Project Management II,18,
202710,Fall 2026,17274,MIS,496,02,3,Practicum in MIS,1,
202710,Fall 2026,17586,MIS,496,03,3,Practicum in MIS,0,
202710,Fall 2026,14380,MIS,531,01,3,Strategic IT Alignment,31,
