,First-Time - Summer Applications (N),First-Time - Summer Acceptances (N),First-Time - Summer Confirmations (N),First-Time - Total Applications (N),First-Time - Total Acceptances (N),First-Time - Total Confirmations (N),First-Time - Full-Time New Enrollments (N),First-Time - Part-Time New Enrollments (N),First-Time - Total New Enrollments (N),First-Time - Acceptances / Applications,First-Time - Enrollments / Applications,First-Time - Enrollments / Acceptances,All Others - Summer Applications (N),All Others - Summer Acceptances (N),All Others - Summer Confirmations (N),All Others - Total Applications (N),All Others - Total Acceptances (N),All Others - Total Confirmations (N),All Others - Full-Time New Enrollments (N),All Others - Part-Time New Enrollments (N),All Others - Total New Enrollments (N),All Others - Acceptances / Applications,All Others - Enrollments / Applications,All Others - Enrollments / Acceptances,All Graduate Students - Summer Applications (N),All Graduate Students - Summer Acceptances (N),All Graduate Students - Summer Confirmations (N),All Graduate Students - Total Applications (N),All Graduate Students - Total Acceptances (N),All Graduate Students - Total Confirmations (N),All Graduate Students - Full-Time New Enrollments (N),All Graduate Students - Part-Time New Enrollments (N),All Graduate Students - Total New Enrollments (N),All Graduate Students - Acceptances / Applications,All Graduate Students - Enrollments / Applications,All Graduate Students - Enrollments / Acceptances
Fall 2015,219,179,,1310,955,,223,484,707,73,54,74,3,3,,25,20,,2,11,13,80,52,65,222,182,,1335,975,,225,495,720,73,54,74
Fall 2016,191,161,,1247,912,,251,410,661,73,53,72,0,0,,17,12,,0,9,9,71,53,75,191,161,,1264,924,,251,419,670,73,53,73
Fall 2017,311,259,,1467,1129,,283,545,828,77,56,73,3,2,,25,20,,0,9,9,80,36,45,314,261,,1492,1149,,283,554,837,77,56,73
Fall 2018,249,173,,1297,917,,221,446,667,71,51,73,1,1,,17,15,,3,9,12,88,71,80,250,174,,1314,932,,224,455,679,71,52,73
Fall 2019,293,231,,1238,935,,218,443,661,76,53,71,6,6,,18,18,,1,11,12,100,67,67,299,237,,1256,953,,219,454,673,76,54,71
Fall 2020,268,209,,1206,859,,260,413,673,71,56,78,5,2,,12,7,,1,2,3,58,25,43,273,211,,1218,866,,261,415,676,71,56,78
Fall 2021,215,168,,1182,854,,218,397,615,72,52,72,1,1,,9,8,,0,1,1,89,11,13,216,169,,1191,862,,218,398,616,72,52,71
Fall 2022,244,218,,1258,856,,208,344,552,68,44,64,7,5,,18,15,,1,9,10,83,56,67,251,223,,1276,871,,209,353,562,68,44,65
Fall 2023,248,189,,1971,957,,272,347,619,49,31,65,6,0,,18,8,,0,8,8,44,44,100,254,189,,1989,965,,272,355,627,49,32,65
Fall 2024,200,173,,1653,1019,,318,321,639,62,39,63,2,2,,29,18,,2,14,16,62,55,89,202,175,,1682,1037,,320,335,655,62,39,63
