,2021-22,2022-23,2023-24,2024-25,,,,,,,,,,Description,,,,,,,,
Men,0,0,0,0,,,,,,,,,,"This table shows student counts by gender and race/ethnicity for the years 2021–22 through 2024–25. Totals remain very small, with only 23 students overall in 2024–25, mostly women. The largest group is White women (13 students in 2024–25), while other categories like Black or African American, Asian, and Hispanic/Latino remain consistently low (1–3 students each).

Abbreviations/Notes:

U.S. Nonresident = international students.

Race and ethnicity unknown = students who did not report a racial/ethnic category.

Totals are broken down for Men, Women, and combined (Men & Women).",,,,,,,,
U.S. Nonresident,0,0,0,0,,,,,,,,,,,,,,,,,,
Hispanic/Latino,0,0,0,0,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,0,0,0,0,,,,,,,,,,,,,,,,,,
Asian,0,0,0,1,,,,,,,,,,,,,,,,,,
Black or African American,0,0,1,0,,,,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,0,0,0,0,,,,,,,,,,,,,,,,,,
White ,0,1,3,4,,,,,,,,,,,,,,,,,,
Two or more races,0,1,0,0,,,,,,,,,,,,,,,,,,
Race and ethnicity unknown,0,0,0,0,,,,,,,,,,,,,,,,,,
Total,0,2,4,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,,,,,,,,,,,,,,,
U.S. Nonresident,0,0,0,0,,,,,,,,,,,,,,,,,,
Hispanic/Latino,0,2,0,4,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,0,0,0,0,,,,,,,,,,,,,,,,,,
Asian,1,0,0,2,,,,,,,,,,,,,,,,,,
Black or African American,0,0,2,1,,,,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,0,0,0,0,,,,,,,,,,,,,,,,,,
White ,1,0,1,9,,,,,,,,,,,,,,,,,,
Two or more races,0,0,0,1,,,,,,,,,,,,,,,,,,
Race and ethnicity unknown,0,0,0,1,,,,,,,,,,,,,,,,,,
Total,2,2,3,18,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Men & Women,,,,,,,,,,,,,,,,,,,,,,
U.S. Nonresident,0,0,0,0,,,,,,,,,,,,,,,,,,
Hispanic/Latino,0,2,0,4,,,,,,,,,,,,,,,,,,
American Indian or Alaska Native,0,0,0,0,,,,,,,,,,,,,,,,,,
Asian,1,0,0,3,,,,,,,,,,,,,,,,,,
Black or African American,0,0,3,1,,,,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,0,0,0,0,,,,,,,,,,,,,,,,,,
White ,1,1,4,13,,,,,,,,,,,,,,,,,,
Two or more races,0,1,0,1,,,,,,,,,,,,,,,,,,
Race and ethnicity unknown,0,0,0,1,,,,,,,,,,,,,,,,,,
Total,2,4,7,23,,,,,,,,,,,,,,,,,,
